Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
rhQVustYV24,Greta Thunberg - Inspiring Others to Take a Stand Against Climate Change | The Daily Show,,yes,10,1568466019,The Daily Show with Trevor Noah,UCwWhs_6x42TyRM4Wstoq8HA,Comedy,4467651,119217,15936,0.133672,0,27765,174,20,194,2
EAmmUIEsN9A,School strike for climate - save the world by changing the rules | Greta Thunberg | TEDxStockholm,,yes,27,1544639959,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,2372978,91502,8806,0.096238,0,8870,169,0,169,4
H2QxFM9y0tY,The disarming case to act right now on climate change | Greta Thunberg,,yes,33,1550072614,TED,UCAuUUnT6oDeKwE6v1NGQxug,Science & Technology,1731001,51044,8392,0.164407,0,10441,169,14,183,4
rsNskDfd5CM,Greta Thunberg on Whether She’d Meet with the President,,yes,4,1572699610,TheEllenShow,UCp0hYYBW6IMayGgR-WeoCvQ,Entertainment,7859804,225776,42706,0.189152,0,,167,8,175,0
14w8WC1I3S4,Greta Thunberg urges MEPs to ‘panic like the house is on fire’,,yes,72,1555423104,EURACTIV,UCDCgvwyjJqZWYs6j0D2FF6g,News & Politics,651906,11695,3124,0.267123,0,5302,167,29,196,2
KAJsdgTPJpU,WATCH: Greta Thunberg s full speech to world leaders at UN Climate Action Summit,,yes,7,1569257070,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,3194707,52853,31370,0.593533,0,,163,29,192,0
UgHNg-N-ENI,Piers Reacts to Greta Thunberg s UN Climate Summit Speech | Good Morning Britain,,yes,60,1569330579,Good Morning Britain,UCq18eeL7D9Vd8DhjMcLh9QQ,Entertainment,771416,7461,7164,0.960193,0,,144,18,162,1
BQ4rBLCpEeM,Greta Thunberg on the  gift  of Asperger s in fighting climate change:  We need people who think …,,yes,24,1568121703,CBS This Morning,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,562597,7649,3247,0.4245,0,4261,135,41,176,3
TMrtLsQbaok,Greta Thunberg to world leaders:  How dare you? You have stolen my dreams and my childhood,,yes,13,1569252171,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,4787167,62033,42685,0.688101,0,27754,130,29,159,1
KWx44kga7gg,Young boy shields Greta Thunberg from photographers on Capitol Hill,,yes,32,1568785501,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,343923,2064,1388,0.672481,0,1582,127,42,169,1
uRgJ-22S_Rs,Greta Thunberg Is Leading a Global Climate Movement,,yes,28,1555333214,Great Big Story,UCajXeitgFL-rb5-gXI-aG8Q,People & Blogs,570180,30640,4355,0.142134,0,6420,123,21,144,4
8fYQGQSqzrw,Is Greta Thunberg a Force for Change or Inciting Fear? | Good Morning Britain,,yes,99,1569409609,Good Morning Britain,UCq18eeL7D9Vd8DhjMcLh9QQ,Entertainment,494144,3757,2126,0.565877,0,,122,18,140,1
mcY1Io-heqo,‘Hysterical’ Thunberg needs more life experience,,yes,195,1569840816,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,News & Politics,1000319,25324,2741,0.108237,0,15002,121,20,141,1
bFvXc14g3AQ,GOLDENE KAMERA award speech of Greta Thunberg,,yes,109,1554473488,GOLDENE KAMERA,UCHwOiBjirjVUv32pzWAuhDw,Entertainment,676875,21941,2981,0.135864,0,4015,117,26,143,4
#NAME?,Nature Now,,yes,23,1568902579,Conservation International,UCam5sCp6mzGBcn8ZBB2RBJg,Nonprofits & Activism,698818,19699,6587,0.334382,0,5212,114,36,150,1
